2024-06-10T15:19:30.517Z [INFO] - Server is running on port 3000
2024-06-10T15:19:31.573Z [INFO] - MongoDB connected successfully.
2024-06-10T15:20:00.728Z [INFO] - Running scheduled task
2024-06-10T15:20:00.804Z [INFO] - Read data from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:20:00.806Z [INFO] - Parsed data successfully from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:20:00.810Z [INFO] - Processing chunk: 1 / 50
2024-06-10T15:20:01.528Z [INFO] - Processing chunk: 2 / 50
2024-06-10T15:20:01.994Z [INFO] - Processing chunk: 3 / 50
2024-06-10T15:20:02.456Z [INFO] - Processing chunk: 4 / 50
2024-06-10T15:20:02.959Z [INFO] - Processing chunk: 5 / 50
2024-06-10T15:20:03.112Z [INFO] - Processing chunk: 6 / 50
2024-06-10T15:20:03.250Z [INFO] - Processing chunk: 7 / 50
2024-06-10T15:20:03.380Z [INFO] - Processing chunk: 8 / 50
2024-06-10T15:20:03.563Z [INFO] - Processing chunk: 9 / 50
2024-06-10T15:20:03.727Z [INFO] - Processing chunk: 10 / 50
2024-06-10T15:20:04.127Z [INFO] - Processing chunk: 11 / 50
2024-06-10T15:20:04.256Z [INFO] - Processing chunk: 12 / 50
2024-06-10T15:20:04.389Z [INFO] - Processing chunk: 13 / 50
2024-06-10T15:20:04.530Z [INFO] - Processing chunk: 14 / 50
2024-06-10T15:20:04.664Z [INFO] - Processing chunk: 15 / 50
2024-06-10T15:20:05.085Z [INFO] - Processing chunk: 16 / 50
2024-06-10T15:20:05.230Z [INFO] - Processing chunk: 17 / 50
2024-06-10T15:20:05.363Z [INFO] - Processing chunk: 18 / 50
2024-06-10T15:20:05.496Z [INFO] - Processing chunk: 19 / 50
2024-06-10T15:20:05.628Z [INFO] - Processing chunk: 20 / 50
2024-06-10T15:20:06.053Z [INFO] - Processing chunk: 21 / 50
2024-06-10T15:20:06.204Z [INFO] - Processing chunk: 22 / 50
2024-06-10T15:20:06.384Z [INFO] - Processing chunk: 23 / 50
2024-06-10T15:20:06.516Z [INFO] - Processing chunk: 24 / 50
2024-06-10T15:20:06.649Z [INFO] - Processing chunk: 25 / 50
2024-06-10T15:20:07.045Z [INFO] - Processing chunk: 26 / 50
2024-06-10T15:20:07.178Z [INFO] - Processing chunk: 27 / 50
2024-06-10T15:20:07.312Z [INFO] - Processing chunk: 28 / 50
2024-06-10T15:20:07.447Z [INFO] - Processing chunk: 29 / 50
2024-06-10T15:20:07.575Z [INFO] - Processing chunk: 30 / 50
2024-06-10T15:20:08.043Z [INFO] - Processing chunk: 31 / 50
2024-06-10T15:20:08.178Z [INFO] - Processing chunk: 32 / 50
2024-06-10T15:20:08.309Z [INFO] - Processing chunk: 33 / 50
2024-06-10T15:20:08.443Z [INFO] - Processing chunk: 34 / 50
2024-06-10T15:20:08.575Z [INFO] - Processing chunk: 35 / 50
2024-06-10T15:20:09.043Z [INFO] - Processing chunk: 36 / 50
2024-06-10T15:20:09.183Z [INFO] - Processing chunk: 37 / 50
2024-06-10T15:20:09.309Z [INFO] - Processing chunk: 38 / 50
2024-06-10T15:20:09.444Z [INFO] - Processing chunk: 39 / 50
2024-06-10T15:20:09.577Z [INFO] - Processing chunk: 40 / 50
2024-06-10T15:20:09.715Z [INFO] - Processing chunk: 41 / 50
2024-06-10T15:20:10.115Z [INFO] - Processing chunk: 42 / 50
2024-06-10T15:20:10.299Z [INFO] - Processing chunk: 43 / 50
2024-06-10T15:20:10.433Z [INFO] - Processing chunk: 44 / 50
2024-06-10T15:20:10.575Z [INFO] - Processing chunk: 45 / 50
2024-06-10T15:20:10.714Z [INFO] - Processing chunk: 46 / 50
2024-06-10T15:20:11.089Z [INFO] - Processing chunk: 47 / 50
2024-06-10T15:20:11.221Z [INFO] - Processing chunk: 48 / 50
2024-06-10T15:20:11.347Z [INFO] - Processing chunk: 49 / 50
2024-06-10T15:20:11.479Z [INFO] - Processing chunk: 50 / 50
2024-06-10T15:21:00.258Z [INFO] - Running scheduled task
2024-06-10T15:21:00.321Z [INFO] - Read data from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:21:00.366Z [INFO] - Parsed data successfully from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:21:00.370Z [INFO] - Processing chunk: 1 / 50
2024-06-10T15:21:00.534Z [INFO] - Processing chunk: 2 / 50
2024-06-10T15:21:00.658Z [INFO] - Processing chunk: 3 / 50
2024-06-10T15:21:00.788Z [INFO] - Processing chunk: 4 / 50
2024-06-10T15:21:00.916Z [INFO] - Processing chunk: 5 / 50
2024-06-10T15:21:01.045Z [INFO] - Processing chunk: 6 / 50
2024-06-10T15:21:01.506Z [INFO] - Processing chunk: 7 / 50
2024-06-10T15:21:01.638Z [INFO] - Processing chunk: 8 / 50
2024-06-10T15:21:01.766Z [INFO] - Processing chunk: 9 / 50
2024-06-10T15:21:01.889Z [INFO] - Processing chunk: 10 / 50
2024-06-10T15:21:02.020Z [INFO] - Processing chunk: 11 / 50
2024-06-10T15:21:02.485Z [INFO] - Processing chunk: 12 / 50
2024-06-10T15:21:02.615Z [INFO] - Processing chunk: 13 / 50
2024-06-10T15:21:02.749Z [INFO] - Processing chunk: 14 / 50
2024-06-10T15:21:02.894Z [INFO] - Processing chunk: 15 / 50
2024-06-10T15:21:03.098Z [INFO] - Processing chunk: 16 / 50
2024-06-10T15:21:03.479Z [INFO] - Processing chunk: 17 / 50
2024-06-10T15:21:03.607Z [INFO] - Processing chunk: 18 / 50
2024-06-10T15:21:03.734Z [INFO] - Processing chunk: 19 / 50
2024-06-10T15:21:03.861Z [INFO] - Processing chunk: 20 / 50
2024-06-10T15:21:03.984Z [INFO] - Processing chunk: 21 / 50
2024-06-10T15:21:04.448Z [INFO] - Processing chunk: 22 / 50
2024-06-10T15:21:04.573Z [INFO] - Processing chunk: 23 / 50
2024-06-10T15:21:04.699Z [INFO] - Processing chunk: 24 / 50
2024-06-10T15:21:04.830Z [INFO] - Processing chunk: 25 / 50
2024-06-10T15:21:04.959Z [INFO] - Processing chunk: 26 / 50
2024-06-10T15:21:05.434Z [INFO] - Processing chunk: 27 / 50
2024-06-10T15:21:05.562Z [INFO] - Processing chunk: 28 / 50
2024-06-10T15:21:05.689Z [INFO] - Processing chunk: 29 / 50
2024-06-10T15:21:05.825Z [INFO] - Processing chunk: 30 / 50
2024-06-10T15:21:05.952Z [INFO] - Processing chunk: 31 / 50
2024-06-10T15:21:06.430Z [INFO] - Processing chunk: 32 / 50
2024-06-10T15:21:06.557Z [INFO] - Processing chunk: 33 / 50
2024-06-10T15:21:06.689Z [INFO] - Processing chunk: 34 / 50
2024-06-10T15:21:06.818Z [INFO] - Processing chunk: 35 / 50
2024-06-10T15:21:06.943Z [INFO] - Processing chunk: 36 / 50
2024-06-10T15:21:07.069Z [INFO] - Processing chunk: 37 / 50
2024-06-10T15:21:07.504Z [INFO] - Processing chunk: 38 / 50
2024-06-10T15:21:07.631Z [INFO] - Processing chunk: 39 / 50
2024-06-10T15:21:07.760Z [INFO] - Processing chunk: 40 / 50
2024-06-10T15:21:07.894Z [INFO] - Processing chunk: 41 / 50
2024-06-10T15:21:08.031Z [INFO] - Processing chunk: 42 / 50
2024-06-10T15:21:08.488Z [INFO] - Processing chunk: 43 / 50
2024-06-10T15:21:08.615Z [INFO] - Processing chunk: 44 / 50
2024-06-10T15:21:08.744Z [INFO] - Processing chunk: 45 / 50
2024-06-10T15:21:08.871Z [INFO] - Processing chunk: 46 / 50
2024-06-10T15:21:09.002Z [INFO] - Processing chunk: 47 / 50
